id;name;rating;ingredients;directions;user_id;created_by;created_date;last_modified_by;last_modified_date
1;Bruschette with Tomato;5;"Cannellini Beans
Peas
1/4 quart Chamomile
1 cup Poppy Seed
Rockmelon";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;1984-09-02 06:16:50;system;1977-11-12 07:28:00
2;Kebab;5;"Red Wine Vinegar
Incaberries
3 pint Dill Leaf
1/2 tablespoon Oregano
Papaw";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;1985-06-30 13:23:38;system;2013-11-08 05:31:37
3;Pizza;1;"Fennel Seeds
Wheatgrass Juice
1 tablespoon Nutmeg Whole
1/2 gallon Mustard Seed Yellow
Berries";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2009-01-16 18:15:40;system;2018-08-14 17:43:09
4;Poke;3;"Arrowroot
Curry Powder
1/4 cup Paprika
2 tablespoon Chinese 5 Spice
Corella Pear";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2010-09-17 06:17:02;system;1990-10-29 13:38:23
5;Kebab;5;"Spinach
Cabbage
1 gallon Achiote Seed
3 tablespoon Tikka Masala
Dates";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2018-06-19 08:49:43;system;2009-08-10 17:29:15
6;Ricotta Stuffed Ravioli;2;"Cumin
Nori
1 pint Herbes de Provence
2 tablespoon Sea Salt Coarse
Melon";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2018-12-04 15:21:02;system;2016-04-09 07:15:26
7;Poke;4;"Mace
Goji Berry
1/4 cup Cayenne Pepper
2 quart Baharat
Elderberry";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;1984-03-24 04:42:09;system;2020-09-16 00:59:30
8;Hummus;1;"Corn Tortilla
Raspberry
1 gallon Cassia Bark
1/4 tablespoon BBQ Seasoning
Bush Tomato";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2000-05-10 13:39:39;system;2010-10-27 07:36:53
9;Peking Duck;1;"Flat Mushrooms
Balsamic Vinegar
3 cup Pepper Black Coarse
1/3 cup Cardamom Whole
Avocado";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;1985-02-18 05:11:25;system;1973-11-27 03:43:29
10;Pizza;5;"Feijoa
Rockmelon
2 pint Jalfrezi Mix
3 pint Mulled Cider Spices
Avocado";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;2005-03-01 23:22:37;system;1986-02-16 01:09:42
11;Tacos;5;"Lime Leaves
Salmon
1/3 teaspoon Sweet Laurel
1/4 tablespoon Thyme
Custard Apples";"Step 1
Season both sides of the pork chops with cayenne pepper and black pepper and lightly poke with a fork to make a few holes. Place pork in a casserole dish, pour soy sauce over top, and add garlic. Cover the dish with plastic wrap and marinate in the refrigerator for 1 hour, turning halfway through.

Step 2
Preheat an outdoor grill for high heat and lightly oil the grate.

Step 3
Remove chops from the marinade and shake off excess. Discard the remaining marinade.

Step 4
Place chops on the preheated grill and reduce heat to medium. Cook until no longer pink in the center, about 6 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).";3;system;1970-02-23 14:18:11;system;1970-07-01 12:55:59
